SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
31641,5553,1,35,25,6,NA,NA,950,0,4,0,0,0,0,0,0,1,0,0,0,0
31695,11580,1,51,20,1,NA,NA,541,1,11,0,0,1,0,0,0,0,0,0,0,0
31707,660,1,39,23,4,NA,NA,2788,0,8,0,1,0,0,0,0,0,0,0,0,0
31709,8917,1,47,22,5,NA,NA,2353,0,6,0,0,0,1,0,0,0,0,0,0,0
31723,3262,1,31,20,6,NA,NA,1467,0,6,0,0,0,1,0,0,0,0,0,0,0
31791,8688,1,38,21,4,NA,NA,1552,0,5,0,0,0,0,0,0,0,0,0,0,1
31801,462,1,32,19,1,NA,NA,2448,1,9,0,0,0,0,1,0,0,0,0,0,0
31866,10549,1,68,22,4,NA,NA,708,0,9,0,0,0,0,1,0,0,0,0,0,0
31893,7599,1,52,22,1,NA,NA,930,1,8,0,1,0,0,0,0,0,0,0,0,0
31917,2060,1,27,21,2,NA,NA,2530,0,1,0,0,0,0,0,0,0,1,0,0,0
32089,10208,1,75,17,5,NA,NA,617,0,3,1,0,0,0,0,0,0,0,0,0,0
32145,2274,1,44,28,6,NA,NA,2934,0,2,0,0,0,0,0,1,0,0,0,0,0
32223,11321,1,45,22,5,NA,NA,1099,0,6,0,0,0,1,0,0,0,0,0,0,0
32225,6682,1,35,8,3,NA,NA,2791,0,3,1,0,0,0,0,0,0,0,0,0,0
32238,10210,1,75,18,2,NA,NA,1731,0,4,0,0,0,0,0,0,1,0,0,0,0
32370,4240,1,37,21,1,NA,NA,1065,1,11,0,0,1,0,0,0,0,0,0,0,0
32402,11392,1,73,9,4,NA,NA,1527,0,6,0,0,0,1,0,0,0,0,0,0,0
32415,4501,1,53,26,7,NA,NA,1180,1,4,0,0,0,0,0,0,1,0,0,0,0
32520,11623,1,36,8,3,NA,NA,2427,0,3,1,0,0,0,0,0,0,0,0,0,0
32530,5803,1,36,22,3,NA,NA,1785,0,7,0,0,0,0,0,0,0,0,0,1,0
32651,1837,1,45,16,4,NA,NA,1531,0,3,1,0,0,0,0,0,0,0,0,0,0
