SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
3274,4733,1,38,4,6,NA,NA,12,4,NA,NA,123,4,NA,NA,7.78,4,NA,NA,7.43,4,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
3288,1716,1,35,28,4,NA,NA,349,28,NA,NA,277,28,NA,NA,12.61,28,NA,NA,7.989999999999999,28,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
3304,6924,1,42,13,5,NA,NA,77,13,NA,NA,212,13,NA,NA,8.94,13,NA,NA,7.43,13,NA,NA,0,0,11,0,0,0,0,0,0,1,0,0,0,0
3316,9718,1,22,18,3,NA,NA,564,18,NA,NA,228,18,NA,NA,13.32,18,NA,NA,8.47,18,NA,NA,0,0,11,0,0,0,0,0,0,1,0,0,0,0
3325,5337,1,55,21,7,NA,NA,404,21,NA,NA,2547,21,NA,NA,15.62,21,NA,NA,8.6,21,NA,NA,19.68,1,1,0,0,0,0,0,0,0,0,0,1,0
3438,5331,1,35,16,6,NA,NA,3140,16,NA,NA,167,16,NA,NA,12.7,16,NA,NA,8.659999999999998,16,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
3448,11322,1,58,8,2,NA,NA,105,8,NA,NA,124,8,NA,NA,14.3,8,NA,NA,7.43,8,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
3518,8375,1,48,15,3,NA,NA,2242,15,NA,NA,130,15,NA,NA,9.77,15,NA,NA,6.8100000000000005,15,NA,NA,0,0,10,0,0,0,0,0,0,0,1,0,0,0
3533,9718,1,55,18,3,NA,NA,830,18,NA,NA,284,18,NA,NA,16.87,18,NA,NA,9.669999999999998,18,NA,NA,0,0,11,0,0,0,0,0,0,1,0,0,0,0
3566,11492,1,34,10,3,NA,NA,1998,10,NA,NA,204,10,NA,NA,31.65,10,NA,NA,7.94,10,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
3611,834,1,28,20,6,NA,NA,158,20,NA,NA,180,20,NA,NA,9.26,20,NA,NA,7.64,20,NA,NA,0,0,8,0,0,0,0,0,0,0,0,1,0,0
3727,8196,1,61,24,1,NA,NA,232,24,NA,NA,261,24,NA,NA,11.92,24,NA,NA,8.76,24,NA,NA,0,1,6,0,0,0,0,0,1,0,0,0,0,0
3746,10107,1,50,24,1,NA,NA,19,24,NA,NA,174,24,NA,NA,11.959999999999999,24,NA,NA,9.92,24,NA,NA,0,1,6,0,0,0,0,0,1,0,0,0,0,0
3756,9532,1,28,29,5,NA,NA,145,29,NA,NA,153,29,NA,NA,7.459999999999999,29,NA,NA,7.84,29,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
3766,1177,1,85,2,1,NA,NA,629,2,NA,NA,167,2,NA,NA,15.350000000000001,2,NA,NA,4.6,2,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,0
3852,1012,1,52,16,6,NA,NA,275,16,NA,NA,148,16,NA,NA,14.559999999999999,16,NA,NA,8.56,16,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
3975,168,1,28,28,4,NA,NA,497,28,NA,NA,168,28,NA,NA,24,28,NA,NA,9.44,28,NA,NA,3.68,0,1,0,0,0,0,0,0,0,0,0,1,0
4003,5020,1,32,24,1,NA,NA,240,24,NA,NA,181,24,NA,NA,14.31,24,NA,NA,7.81,24,NA,NA,0,1,8,0,0,0,0,0,0,0,0,1,0,0
4004,7601,1,62,29,2,NA,NA,158,29,NA,NA,325,29,NA,NA,18.37,29,NA,NA,13.059999999999999,29,NA,NA,0.785,0,5,0,0,0,1,0,0,0,0,0,0,0
4039,11388,1,33,6,7,NA,NA,285,6,NA,NA,167,6,NA,NA,12.979999999999999,6,NA,NA,6.25,6,NA,NA,0,1,2,1,0,0,0,0,0,0,0,0,0,0
4095,4080,1,45,7,1,NA,NA,1192,7,NA,NA,154,7,NA,NA,28.9,7,NA,NA,6.909999999999999,7,NA,NA,0,1,2,1,0,0,0,0,0,0,0,0,0,0
4186,8953,1,44,4,6,NA,NA,13,4,NA,NA,254,4,NA,NA,8.59,4,NA,NA,7.3100000000000005,4,NA,NA,0,0,9,0,0,0,0,0,0,0,0,0,0,1
4219,6251,1,61,18,1,NA,NA,44,18,NA,NA,224,18,NA,NA,9.069999999999999,18,NA,NA,7.949999999999999,18,NA,NA,0.342,1,9,0,0,0,0,0,0,0,0,0,0,1
4220,4104,1,34,22,3,NA,NA,1283,22,NA,NA,173,22,NA,NA,10.4,22,NA,NA,10.34,22,NA,NA,0.5724,0,2,1,0,0,0,0,0,0,0,0,0,0
4227,8525,1,40,17,3,NA,NA,5,17,NA,NA,114,17,NA,NA,7.51,17,NA,NA,7.76,17,NA,NA,0,0,4,0,1,0,0,0,0,0,0,0,0,0
