SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
28148,5610,2,70,15,32,132,6.1499999999999995,5.779999999999999,0,0,10,0,0,0,1,0,0,0,0,0,0,0
28165,11269,2,27,22,104,182,10.290000000000001,8.8,0,0,2,0,0,0,0,0,1,0,0,0,0,0
28170,7916,2,35,19,1711,159,10.6,8.089999999999998,0,0,7,0,1,0,0,0,0,0,0,0,0,0
28183,5552,2,38,25,57,183,7.99,3.5100000000000002,0,0,6,0,0,0,0,0,0,1,0,0,0,0
28217,2542,2,70,27,39,98,5.9,5.5299999999999985,0,0,5,0,0,0,0,0,0,0,0,1,0,0
28231,1567,2,45,16,168,224,15.26,11.82,3.375,0,4,0,0,1,0,0,0,0,0,0,0,0
28242,7207,2,45,25,92,376,13.409999999999998,9.34,0,0,2,0,0,0,0,0,1,0,0,0,0,0
28254,11896,2,48,18,301,166,8.92,6.46,0,0,8,0,0,0,0,0,0,0,0,0,1,0
28289,4076,2,60,25,1010,86,9.17,3.7600000000000002,0,0,6,0,0,0,0,0,0,1,0,0,0,0
28300,4783,2,27,28,510,449,20.98,7.08,15.943,0,5,0,0,0,0,0,0,0,0,1,0,0
28366,1879,2,38,12,68,147,15.499999999999998,8.32,0,0,3,0,0,0,0,0,0,0,0,0,0,1
28386,5277,2,45,10,664,183,15.770000000000003,6.81,0,0,3,0,0,0,0,0,0,0,0,0,0,1
28392,5488,2,22,14,434,187,12.48,7.5200000000000005,0,0,10,0,0,0,1,0,0,0,0,0,0,0
28394,8023,2,29,23,38,294,20.119999999999997,14.179999999999998,0.333,0,5,0,0,0,0,0,0,0,0,1,0,0
28398,10523,2,25,23,88,199,16.55,7.899999999999999,4.531,0,11,0,0,0,0,0,0,0,1,0,0,0
28505,1731,2,53,8,1075,169,13.29,7.129999999999999,0,0,2,0,0,0,0,0,1,0,0,0,0,0
28515,9244,2,42,19,2116,109,29.520000000000003,6.67,0,0,8,0,0,0,0,0,0,0,0,0,1,0
28534,5390,2,27,19,108,208,11.94,8.5,0.36,0,11,0,0,0,0,0,0,0,1,0,0,0
28550,11306,2,28,23,52,139,7.48,6.89,0,0,5,0,0,0,0,0,0,0,0,1,0,0
28558,4297,2,40,12,103,222,11.57,6.9399999999999995,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28594,10463,2,40,2,10,185,8.34,7.230000000000001,0,0,9,0,0,0,0,1,0,0,0,0,0,0
