SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_3,adm2_8,adm2_2,adm2_10
34824,2975,2,18,3,258,65,11.649999999999999,4.7299999999999995,NA,0,9,0,1,0,0,0,0,0,0,0,0
34827,4145,2,44,28,3999,185,27.77,13.539999999999997,NA,0,1,0,0,0,0,0,1,0,0,0,0
34840,7866,2,50,25,27,123,8.69,5.3199999999999985,NA,0,5,0,0,1,0,0,0,0,0,0,0
34874,1064,2,45,19,17,43,3.44,3.6199999999999997,NA,0,10,0,0,0,0,0,0,0,0,0,1
34894,11855,2,22,26,744,158,18.03,6.390000000000001,NA,0,1,0,0,0,0,0,1,0,0,0,0
34949,2747,2,20,4,9,96,8.219999999999999,4.14,NA,0,5,0,0,1,0,0,0,0,0,0,0
35039,8986,2,19,2,51,92,9.47,7.880000000000001,NA,0,2,0,0,0,0,0,0,0,0,1,0
35041,6095,2,35,8,11,114,9.67,5.169999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
35046,995,2,55,24,25,99,7.260000000000001,4.079999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
35055,1212,2,20,19,824,245,21.190000000000005,9.969999999999999,NA,0,4,0,0,0,1,0,0,0,0,0,0
35071,6426,2,35,6,30,376,26.419999999999998,13.81,NA,0,6,0,0,0,0,1,0,0,0,0,0
35149,5847,2,45,27,4,44,3.3200000000000003,2.989999999999999,NA,0,3,0,0,0,0,0,0,1,0,0,0
35159,9746,2,50,13,77,93,8.93,5.909999999999998,NA,0,3,0,0,0,0,0,0,1,0,0,0
35160,5915,2,55,19,62,126,5.140000000000001,5.33,NA,0,2,0,0,0,0,0,0,0,0,1,0
35181,11451,2,40,23,56,197,15.640000000000002,8.6,NA,0,10,0,0,0,0,0,0,0,0,0,1
35222,5868,2,60,6,214,276,19.430000000000003,9.080000000000002,NA,0,6,0,0,0,0,1,0,0,0,0,0
35247,4281,2,60,12,1821,77,7.5200000000000005,7.94,NA,0,10,0,0,0,0,0,0,0,0,0,1
35261,754,2,35,15,11,101,8.04,4.8,NA,0,9,0,1,0,0,0,0,0,0,0,0
35304,2649,2,39,4,66,270,17.259999999999998,10.700000000000001,NA,0,5,0,0,1,0,0,0,0,0,0,0
35308,8284,2,40,20,2,71,9.910000000000002,6.62,NA,0,8,0,0,0,0,0,0,0,1,0,0
35333,6245,2,29,3,1019,252,16.390000000000004,8.26,NA,0,5,0,0,1,0,0,0,0,0,0,0
35338,6270,2,36,21,23,214,29.240000000000006,12.540000000000001,NA,0,1,0,0,0,0,0,1,0,0,0,0
35356,2390,2,25,28,95,230,15.78,11.13,NA,0,3,0,0,0,0,0,0,1,0,0,0
35368,11473,2,24,23,16,117,8.13,5.860000000000001,NA,0,6,0,0,0,0,1,0,0,0,0,0
35369,11645,2,55,3,37,105,6.8999999999999995,4.879999999999999,NA,0,2,0,0,0,0,0,0,0,0,1,0
35372,801,2,20,8,27,232,20.37,10.23,NA,0,6,0,0,0,0,1,0,0,0,0,0
35375,9663,2,19,20,89,168,10.13,7.09,NA,0,2,0,0,0,0,0,0,0,0,1,0
35379,11386,2,35,7,23,88,9.34,5.77,NA,1,9,0,1,0,0,0,0,0,0,0,0
35402,9193,2,35,4,20,142,10.819999999999999,6.95,NA,0,7,1,0,0,0,0,0,0,0,0,0
35418,9998,2,35,20,938,280,30.490000000000002,13.57,NA,0,1,0,0,0,0,0,1,0,0,0,0
35421,9547,2,22,18,171,190,8.889999999999999,7.279999999999999,NA,0,3,0,0,0,0,0,0,1,0,0,0
35430,8660,2,60,21,16,84,6.17,4.17,NA,0,5,0,0,1,0,0,0,0,0,0,0
35455,8808,2,60,2,19,193,14.68,8.11,NA,0,5,0,0,1,0,0,0,0,0,0,0
35494,6914,2,45,8,16,99,9.29,6.239999999999998,NA,0,7,1,0,0,0,0,0,0,0,0,0
